time,open,close,high,low,volume
2024-03-11 09:30:00,0.472,0.472,0.472,0.472,44799
2024-03-11 09:31:00,0.472,0.473,0.474,0.471,129698
2024-03-11 09:32:00,0.473,0.473,0.474,0.473,152141
2024-03-11 09:33:00,0.473,0.475,0.475,0.473,73449
2024-03-11 09:34:00,0.475,0.475,0.475,0.474,43168
2024-03-11 09:35:00,0.475,0.475,0.475,0.474,131398
2024-03-11 09:36:00,0.475,0.477,0.477,0.475,155158
2024-03-11 09:37:00,0.477,0.475,0.477,0.475,82554
2024-03-11 09:38:00,0.475,0.475,0.475,0.475,52542
2024-03-11 09:39:00,0.475,0.476,0.477,0.475,61423
2024-03-11 09:40:00,0.476,0.475,0.476,0.475,22131
2024-03-11 09:41:00,0.475,0.477,0.477,0.475,99839
2024-03-11 09:42:00,0.476,0.478,0.478,0.476,111575
2024-03-11 09:43:00,0.478,0.477,0.478,0.477,52609
2024-03-11 09:44:00,0.478,0.477,0.478,0.476,131723
2024-03-11 09:45:00,0.477,0.478,0.478,0.477,95471
2024-03-11 09:46:00,0.478,0.477,0.478,0.477,43685
2024-03-11 09:47:00,0.477,0.477,0.478,0.477,151568
2024-03-11 09:48:00,0.477,0.478,0.479,0.477,136053
2024-03-11 09:49:00,0.478,0.478,0.479,0.477,86180
2024-03-11 09:50:00,0.478,0.477,0.479,0.477,25343
2024-03-11 09:51:00,0.477,0.479,0.48,0.477,247428
2024-03-11 09:52:00,0.479,0.479,0.479,0.478,38727
2024-03-11 09:53:00,0.479,0.477,0.479,0.477,19152
2024-03-11 09:54:00,0.478,0.476,0.478,0.476,47284
2024-03-11 09:55:00,0.477,0.476,0.477,0.476,84221
2024-03-11 09:56:00,0.476,0.477,0.477,0.476,34633
2024-03-11 09:57:00,0.477,0.477,0.478,0.476,69266
2024-03-11 09:58:00,0.477,0.477,0.478,0.476,33924
2024-03-11 09:59:00,0.477,0.477,0.478,0.477,69947
2024-03-11 10:00:00,0.477,0.477,0.477,0.477,174528
2024-03-11 10:01:00,0.477,0.476,0.477,0.476,272123
2024-03-11 10:02:00,0.476,0.475,0.476,0.475,176478
2024-03-11 10:03:00,0.475,0.476,0.476,0.475,70626
2024-03-11 10:04:00,0.476,0.476,0.476,0.475,48246
2024-03-11 10:05:00,0.476,0.477,0.477,0.476,25769
2024-03-11 10:06:00,0.477,0.477,0.477,0.477,164755
2024-03-11 10:07:00,0.477,0.477,0.478,0.477,43220
2024-03-11 10:08:00,0.477,0.476,0.477,0.476,35943
2024-03-11 10:09:00,0.476,0.476,0.476,0.475,91452
2024-03-11 10:10:00,0.476,0.476,0.476,0.475,71815
2024-03-11 10:11:00,0.477,0.476,0.477,0.476,43903
2024-03-11 10:12:00,0.476,0.475,0.476,0.475,22803
2024-03-11 10:13:00,0.475,0.475,0.476,0.475,8154
2024-03-11 10:14:00,0.475,0.476,0.476,0.475,83404
2024-03-11 10:15:00,0.476,0.476,0.476,0.476,33254
2024-03-11 10:16:00,0.476,0.477,0.477,0.476,2347
2024-03-11 10:17:00,0.476,0.476,0.476,0.476,50489
2024-03-11 10:18:00,0.476,0.477,0.477,0.476,15716
2024-03-11 10:19:00,0.477,0.476,0.477,0.476,18703
2024-03-11 10:20:00,0.476,0.476,0.476,0.476,69726
2024-03-11 10:21:00,0.476,0.476,0.476,0.475,1506
2024-03-11 10:22:00,0.475,0.475,0.476,0.475,87331
2024-03-11 10:23:00,0.475,0.474,0.475,0.474,3844
2024-03-11 10:24:00,0.474,0.474,0.475,0.474,58180
2024-03-11 10:25:00,0.474,0.475,0.476,0.474,18871
2024-03-11 10:26:00,0.476,0.475,0.476,0.475,248
2024-03-11 10:27:00,0.475,0.475,0.476,0.475,1609
2024-03-11 10:28:00,0.475,0.475,0.476,0.475,933
2024-03-11 10:29:00,0.475,0.476,0.476,0.475,108904
2024-03-11 10:30:00,0.476,0.476,0.476,0.475,34519
2024-03-11 10:31:00,0.476,0.476,0.476,0.475,1396
2024-03-11 10:32:00,0.476,0.476,0.476,0.475,8486
2024-03-11 10:33:00,0.476,0.475,0.476,0.475,2542
2024-03-11 10:34:00,0.476,0.475,0.476,0.475,3625
2024-03-11 10:35:00,0.475,0.475,0.475,0.475,24190
2024-03-11 10:36:00,0.475,0.476,0.476,0.475,3862
2024-03-11 10:37:00,0.476,0.475,0.476,0.475,27343
2024-03-11 10:38:00,0.475,0.476,0.476,0.475,2317
2024-03-11 10:39:00,0.475,0.476,0.476,0.475,72
2024-03-11 10:40:00,0.476,0.476,0.476,0.476,103445
2024-03-11 10:41:00,0.476,0.476,0.476,0.476,240
2024-03-11 10:42:00,0.476,0.477,0.477,0.476,74368
2024-03-11 10:43:00,0.477,0.477,0.477,0.476,33323
2024-03-11 10:44:00,0.477,0.477,0.478,0.477,103274
2024-03-11 10:45:00,0.477,0.477,0.477,0.477,51674
2024-03-11 10:46:00,0.477,0.477,0.478,0.477,129828
2024-03-11 10:47:00,0.477,0.477,0.478,0.477,17117
2024-03-11 10:48:00,0.477,0.478,0.478,0.477,4711
2024-03-11 10:49:00,0.478,0.477,0.478,0.477,776
2024-03-11 10:50:00,0.477,0.477,0.478,0.477,28211
2024-03-11 10:51:00,0.477,0.477,0.478,0.476,70986
2024-03-11 10:52:00,0.477,0.477,0.477,0.477,7631
2024-03-11 10:53:00,0.477,0.476,0.477,0.476,18867
2024-03-11 10:54:00,0.476,0.476,0.477,0.476,2011
2024-03-11 10:55:00,0.476,0.477,0.477,0.476,55770
2024-03-11 10:56:00,0.477,0.476,0.477,0.476,20603
2024-03-11 10:57:00,0.477,0.477,0.477,0.476,1098
2024-03-11 10:58:00,0.477,0.477,0.477,0.477,4646
2024-03-11 10:59:00,0.477,0.477,0.478,0.477,30276
2024-03-11 11:00:00,0.477,0.477,0.477,0.477,4295
2024-03-11 11:01:00,0.477,0.477,0.478,0.477,1358
2024-03-11 11:02:00,0.478,0.477,0.478,0.477,60963
2024-03-11 11:03:00,0.477,0.477,0.477,0.476,9495
2024-03-11 11:04:00,0.477,0.476,0.477,0.476,495
2024-03-11 11:05:00,0.476,0.476,0.477,0.476,446
2024-03-11 11:06:00,0.476,0.477,0.477,0.476,200
2024-03-11 11:07:00,0.477,0.477,0.477,0.476,7825
2024-03-11 11:08:00,0.477,0.477,0.477,0.477,84
2024-03-11 11:09:00,0.477,0.476,0.477,0.476,6021
2024-03-11 11:10:00,0.476,0.477,0.477,0.476,19323
2024-03-11 11:11:00,0.477,0.477,0.477,0.477,27524
2024-03-11 11:12:00,0.477,0.478,0.478,0.477,30036
2024-03-11 11:13:00,0.478,0.477,0.478,0.477,6998
2024-03-11 11:14:00,0.477,0.477,0.477,0.477,8484
2024-03-11 11:15:00,0.477,0.478,0.478,0.477,5184
2024-03-11 11:16:00,0.478,0.479,0.479,0.478,248063
2024-03-11 11:17:00,0.479,0.479,0.479,0.478,39245
2024-03-11 11:18:00,0.479,0.479,0.479,0.478,1657
2024-03-11 11:19:00,0.479,0.478,0.479,0.478,1561
2024-03-11 11:20:00,0.478,0.479,0.479,0.478,7457
2024-03-11 11:21:00,0.479,0.478,0.479,0.478,8918
